dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
A5Z2X5	YPR010C-A	5.37E-06	5.46E-06	5.86E-06
D6W196	YNL083W	0	5.42E-08	1.87E-08
O13297	YPL228W	2.30E-07	1.89E-07	1.42E-07
O13516	YPL081W	6.39E-07	6.83E-07	8.53E-07
O13547	YLR390W-A	6.00E-09	6.58E-09	4.93E-09
O13563	YLR421C	7.34E-07	7.30E-07	8.58E-07
O14455	YPL249C-A	0.000123356	0.000119306	0.000123132
O14464	YPL183W-A	1.17E-07	9.29E-07	5.33E-07
O14467	YOR298C-A	3.19E-05	3.08E-05	3.13E-05
O43137	YBR085C-A	3.48E-07	3.58E-07	2.95E-07
O60200	YKL053C-A	2.17E-07	3.71E-07	0
O74700	YEL020W-A	1.22E-06	1.22E-06	1.29E-06
O75012	YDL045W-A	6.24E-07	7.18E-07	7.67E-07
O94742	YDR363W-A	2.93E-07	2.25E-07	3.11E-07
P00044	YJR048W	1.17E-05	1.12E-05	1.20E-05
P00127	YFR033C	2.30E-06	2.18E-06	2.60E-06
P00128	YDR529C	6.79E-06	7.31E-06	7.12E-06
P00175	YML054C	9.64E-07	1.33E-06	1.17E-06
P00330	YOL086C	0.000153012	0.000158184	0.00015347
P00331	YMR303C	2.76E-06	2.78E-06	4.22E-06
P00358	YJR009C	3.57E-05	4.27E-05	3.54E-05
P00359	YGR192C	0.000328775	0.000349807	0.000317564
P00360	YJL052W	1.60E-06	1.99E-06	2.24E-06
P00401	Q0045	2.06E-07	1.54E-07	1.95E-07
P00427	YHR051W	5.58E-06	5.88E-06	6.13E-06
P00431	YKR066C	3.41E-07	3.27E-07	3.64E-07
P00445	YJR104C	5.39E-05	5.50E-05	5.49E-05
P00447	YHR008C	3.57E-06	4.15E-06	4.42E-06
P00498	YER055C	4.95E-06	6.05E-06	5.42E-06
P00546	YBR160W	4.42E-07	4.96E-07	4.67E-07
P00549	YAL038W	0.000147017	0.000136621	0.00013989
P00560	YCR012W	0.000134018	0.000133863	0.000133287
P00572	YJR057W	1.24E-07	1.37E-07	1.14E-07
P00724	YIL162W	3.53E-07	3.42E-07	4.69E-07
P00729	YMR297W	4.43E-07	4.48E-07	5.14E-07
P00812	YPL111W	2.13E-07	2.21E-07	2.17E-07
P00815	YCL030C	1.01E-05	1.05E-05	1.00E-05
P00817	YBR011C	3.29E-05	3.25E-05	3.18E-05
P00830	YJR121W	1.45E-05	1.56E-05	1.69E-05
P00890	YNR001C	3.66E-06	3.65E-06	3.82E-06
P00899	YER090W	2.97E-06	3.24E-06	3.20E-06
P00912	YDR007W	1.71E-07	1.52E-07	0
P00924	YGR254W	1.57E-05	1.79E-05	1.65E-05
P00925	YHR174W	0.000517743	0.000528451	0.000510074
P00927	YER086W	2.42E-06	2.52E-06	2.54E-06
P00931	YGL026C	1.14E-05	1.14E-05	1.16E-05
P00937	YKL211C	2.64E-06	2.71E-06	2.58E-06
P00942	YDR050C	0.000120187	0.000121466	0.000114413
P00950	YKL152C	0.000231559	0.000222174	0.000229481
P00958	YGR264C	1.42E-06	1.43E-06	1.41E-06
P01094	YMR174C	4.42E-08	3.44E-08	6.32E-08
P01097	YDL181W	9.30E-07	8.00E-07	9.20E-07
P01098	YDL130W-A	6.36E-07	5.42E-07	6.33E-07
P01119	YOR101W	1.44E-07	1.70E-07	1.42E-07
P01120	YNL098C	1.27E-06	1.25E-06	1.17E-06
P01123	YFL038C	2.00E-06	1.79E-06	1.75E-06
P02293	YDR224C	1.68E-05	1.53E-05	1.79E-05
P02309	YBR009C	9.48E-06	1.17E-05	1.18E-05
P02381	Q0140	6.38E-08	1.16E-07	8.68E-08
P02400	YDR382W	4.42E-05	4.45E-05	4.91E-05
