protein_IDs	previous_values	modified_values	flex_Mass
prot_P00931	1.1692987972189e-05	0.000131657136140899	0.00919227204769113
prot_P07149	8.22087098175498e-06	8.30317295581908e-06	1.88215224029348e-05
prot_P11986	2.03378040240399e-06	2.15776205468759e-06	7.39443435724079e-06
prot_P19097	8.22087098175498e-06	8.30317295581908e-06	1.70319507479443e-05
prot_P32264	5.31573407130034e-07	1.16110188573469e-06	2.96895954777005e-05
prot_P32796	4.99347308164957e-07	6.2661055354224e-07	9.82993524565693e-06
prot_P32895	2.33227124179342e-06	3.94942948721501e-05	0.00174836730004093
prot_P38604	6.91033203127627e-07	0.00145434639638505	0.121321218954499
prot_P38620	2.02982731942783e-07	4.07171311633671e-05	0.00140846140569097
prot_P38972	4.86261320715537e-06	0.000164098190465602	0.0237107475171493
prot_P48445	1.34913907096256e-07	7.35203993841225e-05	0.00560386464356124
prot_P54839	1.0455734462754e-05	4.07223485711622e-05	0.00166505209662146
prot_P80235	1.55254579026615e-07	6.21282508587528e-07	3.62405827175564e-05
prot_Q12122	3.70171782493366e-05	4.78791584215306e-05	0.000527824023133147
prot_Q12189	3.32627088849874e-06	3.9286796634847e-06	1.70227286095349e-05
